,,,,,Variable Values,,,,,,Heat Fluxes,,,Ratio,Heat Transfer Coefficients,,,Nusselt Number,yplus,,Reference Temperatures,,,,,
No,"Folder
No",Condition,Iterations,Mesh,"Radiator Surface
Temperature
K","Walls
Temperature
K","Radiator
Dimensions
cm","Fresh Air 
Velocity
m/s","Fresh Air
Temperature
K","Exhaust Air
Temperature
K","qt
W/m2","qr
W/m2","qc
W/m2",qr/qt,"hr
W/m2 K","hc
W/m2 K","ht
W/m2 K",Nu,"Area-weighted average
Wall
yplus","Max
Wall
yplus",AUST,Ta,Ts,"Radiation
ΔT","Convection 
ΔT","Total 
ΔT"
1-1,6,Radiator,"5,000","138,246",313,293,110 x 55 x 10,2,285,293,419.56,120.63,298.93,0.28752,4.87,12.01,16.93,699.77,,,288.23,288.11,313.00,24.77,24.89,24.78
1-2,8,Radiator,"5,000","138,246",318,293,110 x 55 x 10,2,285,293,543.58,154.61,388.97,0.28443,5.20,12.77,18.27,754.91,5.30,18.57,288.27,287.54,318.00,29.73,30.46,29.75
1-3,9,Radiator,"5,000","138,246",323,293,110 x 55 x 10,2,285,293,654.18,190.22,463.96,0.29078,5.48,13.35,19.21,793.60,5.87,18.00,288.29,288.25,323.00,34.71,34.75,34.05
1-4,10,Radiator,"5,000","138,246",328,293,110 x 55 x 10,2,285,293,773.83,227.54,546.29,0.29404,5.73,13.71,19.48,805.10,5.62,18.74,288.29,288.15,328.00,39.71,39.85,39.72
1-5,11,Radiator,"5,000","138,246",333,293,110 x 55 x 10,2,285,293,885.45,266.60,618.85,0.30109,5.96,13.95,19.81,818.56,5.89,19.29,288.27,288.64,333.00,44.73,44.36,44.70
1-6,12,Radiator,"5,000","138,246",338,293,110 x 55 x 10,2,285,293,1014.72,307.42,707.30,0.30296,6.19,14.15,20.43,844.03,6.00,21.57,288.34,288.01,338.00,49.66,49.99,49.67
1-7,13,Radiator,"5,000","138,246",343,293,110 x 55 x 10,2,285,293,1139.22,350.11,789.11,0.30732,6.40,14.43,20.75,857.38,5.99,19.10,288.30,288.31,343.00,54.70,54.69,54.90
1-8,14,Radiator,"5,000","138,246",348,293,110 x 55 x 10,2,285,293,1257.02,394.69,862.33,0.31399,6.61,14.45,21.01,868.07,6.23,19.17,288.29,288.32,348.00,59.71,59.68,59.83
1-9,15,Radiator,"5,000","138,246",353,293,110 x 55 x 10,2,285,293,1380.13,441.25,938.88,0.31972,6.82,14.67,21.18,875.28,6.33,20.58,288.30,289.00,353.00,64.70,64.00,65.16
2-1,16,Radiator,"5,000","138,246",313,293,110 x 55 x 10,1.5,285,293,406.45,120.66,285.79,0.29686,4.87,11.68,16.40,677.84,4.40,14.77,288.22,288.53,313.00,24.78,24.47,24.78
2-2,17,Radiator,"5,000","138,246",318,293,110 x 55 x 10,1.5,285,293,524.13,154.63,369.50,0.29502,5.20,12.57,17.64,728.84,4.88,15.13,288.26,288.60,318.00,29.74,29.40,29.71
2-3,18,Radiator,"5,000","138,246",323,293,110 x 55 x 10,1.5,285,293,655.11,190.86,464.25,0.29134,5.48,13.13,18.86,779.28,4.83,16.99,288.17,287.64,323.00,34.83,35.36,34.74
2-4,19,Radiator,"5,000","138,246",328,293,110 x 55 x 10,1.5,285,293,752.24,227.57,524.67,0.30252,5.73,13.32,18.94,782.57,5.31,17.06,288.28,288.61,328.00,39.72,39.39,39.72
2-5,20,Radiator,"5,000","138,246",333,293,110 x 55 x 10,1.5,285,293,869.61,266.60,603.01,0.30657,5.96,13.48,19.80,818.11,5.53,17.70,288.27,288.27,333.00,44.73,44.73,43.92
2-6,21,Radiator,"5,000","138,246",338,293,110 x 55 x 10,1.5,285,293,982.17,307.46,674.71,0.31304,6.19,13.71,19.87,820.91,5.71,19.99,288.33,288.79,338.00,49.67,49.21,49.43
2-7,22,Radiator,"5,000","138,246",343,293,110 x 55 x 10,1.5,285,293,1113.91,350.13,763.78,0.31433,6.40,13.95,20.38,842.09,5.90,20.56,288.29,288.25,343.00,54.71,54.75,54.66
2-8,23,Radiator,"5,000","138,246",348,293,110 x 55 x 10,1.5,285,293,1235.44,394.72,840.72,0.31950,6.61,14.11,20.72,856.01,6.02,17.06,288.28,288.42,348.00,59.72,59.58,59.63
2-9,24,Radiator,"5,000","138,246",353,293,110 x 55 x 10,1.5,285,293,1360.52,441.20,919.32,0.32429,6.82,14.30,21.06,894.71,6.22,21.34,288.31,288.71,353.00,64.69,64.29,64.60
3-1,25,Radiator,"5,000","138,246",313,293,110 x 55 x 10,2.5,285,293,424.89,120.63,304.26,0.28391,4.87,12.31,17.15,708.15,5.46,20.57,288.23,288.28,313.00,24.77,24.72,24.77
3-2,26,Radiator,"5,000","138,246",318,293,110 x 55 x 10,2.5,285,293,540.38,154.61,385.77,0.28611,5.20,12.99,18.16,750.43,6.18,22.85,288.27,288.30,318.00,29.73,29.70,29.76
3-3,27,Radiator,"5,000","138,246",323,293,110 x 55 x 10,2.5,285,293,665.79,190.22,475.57,0.28571,5.48,13.68,19.17,792.04,5.92,20.55,288.29,288.24,323.00,34.71,34.76,34.73
3-4,28,Radiator,"5,000","138,246",328,293,110 x 55 x 10,2.5,285,293,791.75,227.52,564.23,0.28736,5.73,14.17,19.94,823.80,5.99,20.71,288.29,288.18,328.00,39.71,39.82,39.71
3-5,29,Radiator,"5,000","138,246",333,293,110 x 55 x 10,2.5,285,293,901.40,266.55,634.85,0.29571,5.96,14.19,20.46,845.34,6.22,16.97,288.28,288.26,333.00,44.72,44.74,44.06
3-6,30,Radiator,"5,000","138,246",338,293,110 x 55 x 10,2.5,285,293,1023.78,307.40,716.38,0.30026,6.19,14.42,20.61,851.66,6.21,19.18,288.34,288.32,338.00,49.66,49.68,49.67
3-7,31,Radiator,"5,000","138,246",343,293,110 x 55 x 10,2.5,285,293,1159.31,350.10,809.21,0.30199,6.40,14.80,20.81,859.86,6.53,23.37,288.30,288.32,343.00,54.70,54.68,55.71
3-8,32,Radiator,"5,000","138,246",348,293,110 x 55 x 10,2.5,285,293,1285.26,394.64,890.62,0.30705,6.61,14.92,21.55,890.69,6.48,20.37,288.30,288.31,348.00,59.70,59.69,59.64
